,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
2895,VLhh3IlSfrUzHI71tO9cSA,Tulare County Museum,museums,Museums,36.279076,-119.309642,27000 S Mooney Blvd,Visalia,CA,93277
2896,QfKBmjPyqj1AkirLnPN5AA,Kern River Fish Hatchery,landmarks,Landmarks & Historical Buildings,35.769287,-118.428321,14400 Sierra Way,Kernville,CA,93238
2897,aTdizN8Ubho3LYJs7ZqIjg,Imagine U Children's Museum,childrensmuseums,Children's Museums,36.3316421508789,-119.286293029785,210 N Tipton St,Visalia,CA,93292
2898,gBVyK0QJ_cL0YtTsnaJNuA,Cerro Gordo Mines,historicaltours,Historical Tours,36.48648,-117.86692,,Keeler,CA,93530
2899,Ys_Wcqz3GcB8CqDnxahUJA,Zalud House,museums,Museums,36.0728227,-119.01751,393 N Hockett St,Porterville,CA,93257
2900,rlJyHXnbhKWybpTmfwbogA,Eastern Sierra Interagency Visitor Center,visitorcenters,Visitor Centers,36.5784024850269,-118.056050089617,US Hwy 395,Lone Pine,CA,93545
2901,txgf-Fq6dC_45PhwdxyQvQ,International Agri-Center,museums,Museums,36.1661421,-119.3266017,4500 S Laspina St,Tulare,CA,93274
2902,qZJSTF7xWW-nMdRfac4EyA,Robber's Roost Ranch,landmarks,Landmarks & Historical Buildings,35.6081199645996,-117.899688720703,49901 Hwy 14,Inyokern,CA,93527
2903,ob7v8mo6W7UfsNoJfOnYGA,Kern County Museum,museums,Museums,35.393447,-119.0193969,3801 Chester Ave,Bakersfield,CA,93301
2904,4acsfhkxIgqh6Q2Fj8fQ8w,Minter Field Air Museum,museums,Museums,35.5030886,-119.1824649,401 Vultee Ave,Shafter,CA,93263
2905,bCXexOx6BVcAzbsRqGlM-w,Wild West Show Museum,museums,Museums,36.6052284240723,-118.063499450684,119 S Main St,Lone Pine,CA,93545
2906,75viyTXt0uL28rm0YSF7og,Buena Vista Museum of Natural History & Science,museums,Museums,35.3774410486221,-119.01870533824,2018 Chester Ave,Bakersfield,CA,93301
